example_id,label,title,summary,recommendation,priority,status,age_hours,sla_remaining_minutes,sla_breached,service_degraded,similar_ticket_count,probable_mass_incident,duplicate_confidence,frustration_score,backlog_open_tickets,agent_open_ticket_count,incident_linked,business_impact,service_criticality,assigned
seed-esc-001,ESCALATE,Ticket critique hors SLA fibre,Ticket critique deja hors SLA sur un service degrade.,Escalader au manager reseau et securiser la communication client.,CRITICAL,IN_PROGRESS,18,-35,true,true,2,false,0.42,0.81,24,6,false,CRITICAL,HIGH,true
seed-esc-002,ESCALATE,Escalade urgente core network,Le ticket depasse le SLA sur un service coeur de reseau.,Escalader rapidement avant nouvelle derive SLA.,CRITICAL,ESCALATED,10,-15,true,true,1,false,0.31,0.64,19,5,true,CRITICAL,CRITICAL,true
seed-esc-003,ESCALATE,Dossier premium proche rupture,Client premium en tension avec moins de 20 minutes SLA.,Mettre le dossier en tete de pile et arbitrer l'escalade.,HIGH,IN_PROGRESS,7,18,false,false,1,false,0.28,0.77,17,7,false,HIGH,HIGH,true
seed-esc-004,ESCALATE,Billing bloque client entreprise,Le service n'est pas degrade globalement mais le ticket est tres ancien et sensible.,Escalader vers le responsable de service pour arbitrage.,HIGH,PENDING_THIRD_PARTY,26,-5,true,false,2,false,0.36,0.58,21,4,false,HIGH,CRITICAL,true
seed-esc-005,ESCALATE,VoIP en panne site prioritaire,Le ticket critique combine anciennete et fort impact metier.,Escalader au commandement d'incident si pas de resolution immediate.,CRITICAL,IN_PROGRESS,14,-42,true,true,3,true,0.74,0.83,28,8,false,CRITICAL,CRITICAL,true
seed-rea-001,REASSIGN,Agent surcharge sur ticket business,Le ticket reste bloquant alors que l'agent actuel porte deja un backlog important.,Reaffecter vers un agent moins charge.,HIGH,ASSIGNED,9,125,false,false,1,false,0.22,0.41,26,10,false,HIGH,MEDIUM,true
seed-rea-002,REASSIGN,Ticket nouveau sans prise en charge,Le dossier est assigne mais n'avance pas avec une forte charge agent.,Reassigner ou redistribuer pour fluidifier la file.,MEDIUM,ASSIGNED,13,320,false,false,0,false,0.05,0.32,23,11,false,MEDIUM,MEDIUM,true
seed-rea-003,REASSIGN,Reequilibrage equipe acces,Un ticket standard peut etre repris par un agent disponible sans risque majeur.,Repartir la charge avant saturation de l'equipe.,MEDIUM,IN_PROGRESS,6,210,false,false,1,false,0.14,0.27,20,9,false,MEDIUM,LOW,true
seed-rea-004,REASSIGN,Repartition proactive backlog,Le backlog global est eleve et l'agent depasse le seuil de confort.,Choisir un autre agent pour tenir le MTTR equipe.,HIGH,ASSIGNED,11,170,false,false,1,false,0.18,0.39,29,12,false,HIGH,MEDIUM,true
seed-rea-005,REASSIGN,Ticket client VIP mal affecte,Le contexte reste simple mais l'affectation actuelle ralentit la resolution.,Reassigner a un agent plus disponible avant escalation.,HIGH,IN_PROGRESS,8,95,false,false,0,false,0.11,0.52,18,9,false,HIGH,HIGH,true
