incident_id,title,description,service_name,severity,status,language,start_date,resolved_date,root_cause,workaround,final_resolution
1,Blocage du rating BSCS sur les CDR roaming entrants,Depuis 06:20 les CDR roaming entrants ne sont plus valorises dans BSCS et le backlog depasse 42000 enregistrements. Les soldes clients postpayes ne sont plus mis a jour apres consommation.,BSCS Billing System,CRITICAL,RESOLVED,fr,2026-01-05 06:20:00,2026-01-05 11:45:00,Un lot de CDR partenaire contenait un format de date non conforme qui a bloque le parseur de mediation,Les CDR invalides ont ete isoles et la file de mediation secondaire a pris le relais pour les flux prioritaires,Le parseur a ete corrige puis le lot corrompu a ete purge et les CDR en attente ont ete rejoues sans perte de donnees
2,Echec du bill run mensuel BSCS pour les comptes entreprise,Le bill run mensuel s arrete au milieu du cycle entreprise et aucune facture PDF n est produite pour 8600 comptes. Les previsions de cloture financiere sont retardees.,BSCS Billing System,MAJOR,CLOSED,fr,2026-01-08 22:10:00,2026-01-09 07:30:00,Le repertoire de polices du moteur PDF etait invalide apres une maintenance systeme,Les factures critiques ont ete sorties via le moteur de secours afin de respecter la fenetre de controle finance,Le chemin de rendu PDF a ete corrige puis le bill run a ete relance en reprise et toutes les factures ont ete regenerees
3,Desynchronisation des fiches clients CRM Ericsson vers BSCS,Les creations de comptes corporate dans le CRM Ericsson ne remontent plus vers BSCS depuis la derniere mise a jour. Les commerciaux valident les dossiers mais aucun compte de facturation n est cree.,CRM Ericsson,MAJOR,RESOLVED,fr,2026-01-12 09:15:00,2026-01-12 16:20:00,Le certificat OAuth utilise par le connecteur CRM vers BSCS avait expire sans rotation automatique,Les comptes urgents ont ete crees manuellement dans BSCS pour les ventes prioritaires,Le secret OAuth et le certificat ont ete renouvelles puis la file d integration a ete rejouee et les comptes manquants ont ete synchronises
4,Perte de remontee des KPI radio dans Core Network OSS,Les tableaux NOC n affichent plus les KPI radio 2G et 4G pour 186 noeuds depuis 01:00. La supervision reseau ne peut plus suivre la disponibilite et la charge trafic en temps reel.,Core Network OSS,CRITICAL,RESOLVED,fr,2026-01-15 01:00:00,2026-01-15 05:40:00,La rotation des credentials SNMP n a pas ete propagee au cluster de pollers secondaire,Le NOC a bascule temporairement sur les compteurs locaux exposes par les equipements critiques,Les credentials ont ete resynchronises puis les pollers ont ete redemarres et les KPI manquants ont ete reconstruits depuis les buffers locaux
5,Blocage de la file JMS d activation dans la plateforme de provisioning,Les demandes d activation postpayees restent en statut pending depuis 09:10 et plus de 630 ordres sont en attente. Les boutiques et le CRM ne recoivent plus de confirmation technique.,Provisioning Platform,CRITICAL,RESOLVED,fr,2026-01-18 09:10:00,2026-01-18 13:05:00,Un message XML mal forme issu d un canal partenaire a bloque le consommateur principal de la file JMS,Les activations VIP ont ete traitees via un worker secondaire et une verification manuelle des accuses a ete effectuee,Le message fautif a ete mis en quarantaine puis le consumer a ete relance et les ordres ont ete rejoues avec succes
6,Demandes de portabilite bloquees a la validation operateur donneur,Les demandes MNP entrantes restent en attente de validation et aucun accuse n est renvoye par l operateur donneur. Le portail de portabilite accumule rapidement un stock de dossiers.,Mobile Portability Gateway,MAJOR,RESOLVED,fr,2026-01-20 11:30:00,2026-01-20 17:25:00,Le timeout reseau de la passerelle etait inferieur au temps de reponse reel du service partenaire,Les dossiers urgents ont ete rejoues en lots restreints avec un suivi manuel des accuses de reception,Le timeout du connecteur a ete ajuste puis les dossiers en attente ont ete reemis dans l ordre de soumission
7,Indisponibilite de l API Order Care sur la creation de commandes,Les appels POST vers l API Order Care retournent HTTP 500 pour toutes les souscriptions depuis 07:45. Les canaux digitaux et le CRM ne peuvent plus creer de nouvelles commandes.,Order Care API,CRITICAL,RESOLVED,fr,2026-01-23 07:45:00,2026-01-23 10:55:00,Les connexions JDBC expiraient avant renouvellement et ont sature le pool applicatif,Les commandes critiques ont ete prises en charge via un script de creation controle sur la base de secours,Le pool de connexions a ete redimensionne puis l application a ete redemarree et les commandes en echec ont ete rejouees
8,Echec du lot de migration des comptes clients vers le nouveau referentiel,Le lot nocturne de migration de 12500 comptes postpayes s arrete a la phase de transformation et aucun chargement n est effectue dans la cible. Le planning de bascule projet est menace.,Data Migration Engine,CRITICAL,CLOSED,fr,2026-01-26 00:40:00,2026-01-26 09:15:00,Une valeur historique de segment client etait absente de la table de correspondance de l ETL,Le lot a ete suspendu et un perimetre reduit de comptes critiques a ete extrait pour verification manuelle,La table de mapping a ete completee puis le lot a ete relance depuis le point de reprise et la reconciliation finale a ete validee
9,Echec d enregistrement SIP sur le trunk principal entreprise,Les appels sortants des clients entreprise ne s etablissent plus depuis 08:15 et le SBC principal retourne 403 sur toutes les tentatives d enregistrement SIP. Le trafic voix sortant est fortement impacte.,VoIP Platform,CRITICAL,RESOLVED,fr,2026-01-28 08:15:00,2026-01-28 10:10:00,Le certificat TLS du trunk principal a expire a minuit sans redeploiement automatique,Le trafic voix sortant a ete bascule provisoirement sur le SBC secondaire pour les clients critiques,Le certificat a ete renouvele puis redeploye sur le SBC principal et les enregistrements SIP ont repris normalement
10,Coupure FTTH regionale apres saturation d un port OLT,Plusieurs clients entreprise de la zone Ariana ont perdu la connectivite IP alors que les ONT restent synchronisees optiquement. Aucun trafic ne transite sur le port de collecte principal.,Fibre FTTH,CRITICAL,RESOLVED,fr,2026-01-30 07:10:00,2026-01-30 12:05:00,Une saturation anormale de la table MAC sur le port OLT de collecte a bloque l acheminement des flux,Le trafic a ete detourne vers un port de collecte de secours pour les clients prioritaires,Le port OLT a ete nettoye puis reequilibre et la connectivite a ete retablie sur l ensemble de la zone impactee
