ticket_id,ticket_number,title,description,category,priority,status,service_name,company_name,created_at,resolved_at,resolution,root_cause,comments_summary,language,usefulness_score
18,TKT-2026-00018,Panne reseau sur le site officiel,je voulais savoir la cause du panne et une solution le plus tot possible,DEMANDE,HIGH,RESOLVED,VoIP Platform,Tunis,2026-02-20 22:42:15,2026-02-21 15:32:13,resolution totaale,,c'etait depuis hier le matin | mercii mr ahmed,fr,4
22,TKT-2026-00022,reseau tres lent,je voulais une resolution rapide,DEMANDE,HIGH,RESOLVED,Core Network OSS,Tunis,2026-02-28 22:58:25,2026-03-09 03:12:54,votre ticket est bien résolu,,d'aacord madame sirine on va voir le probléme | je pense que le network est en debit reduit,fr,4
3,TKT-2026-00003,Demande activation offre Fibre Pro 200 Mbps,Nous souhaitons activer l'offre Fibre Pro 200 Mbps pour notre nouveau bureau à Sousse. Merci de nous envoyer le devis.,DEMANDE,LOW,RESOLVED,Fibre FTTH,Ooredoo Tunisie,2026-02-14 15:22:59,2026-02-27 17:50:23,c'etait facile a reegler,,,fr,3
4,TKT-2026-00004,Latence élevée sur VoIP entreprise,"Nos utilisateurs signalent une latence > 200ms sur les appels VoIP depuis 2 jours. Qualité dégradée, écho fréquent.",PANNE,MEDIUM,IN_PROGRESS,VoIP Platform,Ooredoo Tunisie,2026-02-14 12:22:59,,,,Test de latence effectué. Résultats : 180-220ms. Possible congestion switch S2. En attente retour équipe réseau.,fr,3
1,TKT-2026-00001,Panne facturation BSCS - CDR manquants,"Depuis ce matin, les CDR (Call Detail Records) ne sont plus traités par le module de rating BSCS. Environ 15000 CDR en attente.",PANNE,CRITICAL,CLOSED,BSCS Billing System,Ericsson Tunisia,2026-02-14 13:22:59,2026-02-15 23:24:14,g,,"J'ai identifié le problème : le processus de chargement CDR est bloqué sur une erreur de format. Je relance le service. | Note interne: Vérifier les logs du serveur BSCS-PRD-01, partition /data à 95%. | le probléme est un peu compliqué",fr,3
2,TKT-2026-00002,Erreur synchronisation CRM contacts,La synchronisation des contacts entre le CRM Ericsson et le système HLR ne fonctionne plus depuis la mise à jour de vendredi.,PANNE,HIGH,ESCALATED,CRM Ericsson,Ericsson Tunisia,2026-02-14 14:22:59,,,,Pouvez-vous nous donner un délai estimé pour la résolution ? C'est urgent pour notre équipe commerciale.,fr,3
28,TKT-2026-00028,reseau lent,je veux une resolution avnat 24h,DEMANDE,MEDIUM,ESCALATED,VoIP Platform,Tunis,2026-03-08 05:48:44,,,,,fr,2
5,TKT-2026-00005,Évolution Dashboard KPI Manager,"Ajouter des indicateurs de performance temps réel au dashboard manager: taux résolution J+1, temps moyen réponse agent.",EVOLUTION,LOW,ESCALATED,CRM Ericsson,Ericsson Tunisia,2026-02-14 16:22:59,,,,,fr,2
16,TKT-2026-00016,Panne reseau,"en fait , la connexion est tres lente",DEMANDE,HIGH,ESCALATED,Core Network OSS,Tunis,2026-02-18 11:40:12,,,,,fr,2
25,TKT-2026-00025,wifi tres lent,"je voulais une solution rapide , ce n'est pas possible",DEMANDE,HIGH,ESCALATED,Core Network OSS,Tunis,2026-03-07 04:54:23,,,,,fr,2
26,TKT-2026-00026,wifi lent,"mais ce n'est pas possible , jai maintenat payé la facture !!",EVOLUTION,HIGH,ESCALATED,Core Network OSS,Tunis,2026-03-07 22:51:06,,,,"resoudre le le plutot possible | Bonjour sirine jlassi, Nous vous informons que votre ticket TKT-2026-00026 est en cours de traitement par notre équipe. Le service Core Network OSS devrait être rétabli sous peu. Nous vous tiendrons informé de l'avancement. Cordialement, {agent}",fr,2
11,TKT-2026-00011,panne reseau,panne technique,AUTRE,HIGH,ESCALATED,CRM Ericsson,Ericsson Tunisia,2026-02-16 12:39:32,,,,,fr,1
15,TKT-2026-00015,panne reseau,panne technique,AUTRE,HIGH,ESCALATED,CRM Ericsson,Ericsson Tunisia,2026-02-17 20:37:00,,,,,fr,1
27,TKT-2026-00027,panne reseau,c pas possible !!!!,PANNE,CRITICAL,ESCALATED,CRM Ericsson,Tunis,2026-03-08 05:30:47,,,,,fr,1
