ticket_id,ticket_number,title,description,category,priority,status,service_name,company_name,created_at,resolved_at,resolution,root_cause,comments_summary,language
2001,TKT-2026-02001,Blocage du rating BSCS sur les CDR roaming entrants,Depuis 06:20 les CDR roaming entrants ne sont plus valorises dans BSCS et le backlog depasse 42000 enregistrements. Les soldes clients postpayes ne sont plus mis a jour apres consommation. L impact est confirme sur le perimetre production entreprise.,INCIDENT,CRITICAL,RESOLVED,BSCS Billing System,Ericsson Tunisia,2026-03-10 08:00:00,2026-03-10 12:00:00,Le parseur a ete corrige puis le lot corrompu a ete purge et les CDR en attente ont ete rejoues sans perte de donnees,Un lot de CDR partenaire contenait un format de date non conforme qui a bloque le parseur de mediation,Les CDR invalides ont ete isoles et la file de mediation secondaire a pris le relais pour les flux prioritaires Le parseur a ete corrige puis le lot corrompu a ete purge et les CDR en attente ont ete rejoues sans perte de donnees Verification finale effectuee avec les equipes metier et exploitation.,fr
2002,TKT-2026-02002,Echec du bill run mensuel BSCS pour les comptes entreprise,Le bill run mensuel s arrete au milieu du cycle entreprise et aucune facture PDF n est produite pour 8600 comptes. Les previsions de cloture financiere sont retardees. Le NOC a ouvert une surveillance renforcee sur le service concerne.,INCIDENT,HIGH,RESOLVED,BSCS Billing System,Ooredoo Tunisie,2026-03-10 11:00:00,2026-03-10 16:01:00,Le chemin de rendu PDF a ete corrige puis le bill run a ete relance en reprise et toutes les factures ont ete regenerees,Le repertoire de polices du moteur PDF etait invalide apres une maintenance systeme,Les factures critiques ont ete sorties via le moteur de secours afin de respecter la fenetre de controle finance Le chemin de rendu PDF a ete corrige puis le bill run a ete relance en reprise et toutes les factures ont ete regenerees Verification finale effectuee avec les equipes metier et exploitation.,fr
2003,TKT-2026-02003,Desynchronisation des fiches clients CRM Ericsson vers BSCS,Les creations de comptes corporate dans le CRM Ericsson ne remontent plus vers BSCS depuis la derniere mise a jour. Les commerciaux valident les dossiers mais aucun compte de facturation n est cree. Le client demande un retour rapide afin de respecter son SLA contractuel.,INCIDENT,HIGH,IN_PROGRESS,CRM Ericsson,Tunisie Telecom,2026-03-10 14:00:00,,,,Investigation en cours. Les comptes urgents ont ete crees manuellement dans BSCS pour les ventes prioritaires Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2004,TKT-2026-02004,Perte de remontee des KPI radio dans Core Network OSS,Les tableaux NOC n affichent plus les KPI radio 2G et 4G pour 186 noeuds depuis 01:00. La supervision reseau ne peut plus suivre la disponibilite et la charge trafic en temps reel. Des controles complementaires ont ete lances sur les flux inter applicatifs.,INCIDENT,CRITICAL,ESCALATED,Core Network OSS,Orange Tunisie,2026-03-10 17:00:00,,,,Investigation en cours. Le NOC a bascule temporairement sur les compteurs locaux exposes par les equipements critiques Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2005,TKT-2026-02005,Blocage de la file JMS d activation dans la plateforme de provisioning,Les demandes d activation postpayees restent en statut pending depuis 09:10 et plus de 630 ordres sont en attente. Les boutiques et le CRM ne recoivent plus de confirmation technique. Le perimetre touche concerne principalement les comptes B2B prioritaires.,PROVISIONING,CRITICAL,RESOLVED,Provisioning Platform,Topnet,2026-03-10 20:00:00,2026-03-11 04:04:00,Le message fautif a ete mis en quarantaine puis le consumer a ete relance et les ordres ont ete rejoues avec succes,Un message XML mal forme issu d un canal partenaire a bloque le consommateur principal de la file JMS,Les activations VIP ont ete traitees via un worker secondaire et une verification manuelle des accuses a ete effectuee Le message fautif a ete mis en quarantaine puis le consumer a ete relance et les ordres ont ete rejoues avec succes Verification finale effectuee avec les equipes metier et exploitation.,fr
2006,TKT-2026-02006,Demandes de portabilite bloquees a la validation operateur donneur,Les demandes MNP entrantes restent en attente de validation et aucun accuse n est renvoye par l operateur donneur. Le portail de portabilite accumule rapidement un stock de dossiers. L impact est confirme sur le perimetre production entreprise.,PROVISIONING,HIGH,CLOSED,Mobile Portability Gateway,GlobalNet,2026-03-10 23:00:00,2026-03-11 08:05:00,Le timeout du connecteur a ete ajuste puis les dossiers en attente ont ete reemis dans l ordre de soumission,Le timeout reseau de la passerelle etait inferieur au temps de reponse reel du service partenaire,Les dossiers urgents ont ete rejoues en lots restreints avec un suivi manuel des accuses de reception Le timeout du connecteur a ete ajuste puis les dossiers en attente ont ete reemis dans l ordre de soumission Verification finale effectuee avec les equipes metier et exploitation.,fr
2007,TKT-2026-02007,Indisponibilite de l API Order Care sur la creation de commandes,Les appels POST vers l API Order Care retournent HTTP 500 pour toutes les souscriptions depuis 07:45. Les canaux digitaux et le CRM ne peuvent plus creer de nouvelles commandes. Le NOC a ouvert une surveillance renforcee sur le service concerne.,INCIDENT,CRITICAL,RESOLVED,Order Care API,Ericsson Tunisia,2026-03-11 02:00:00,2026-03-11 12:06:00,Le pool de connexions a ete redimensionne puis l application a ete redemarree et les commandes en echec ont ete rejouees,Les connexions JDBC expiraient avant renouvellement et ont sature le pool applicatif,Les commandes critiques ont ete prises en charge via un script de creation controle sur la base de secours Le pool de connexions a ete redimensionne puis l application a ete redemarree et les commandes en echec ont ete rejouees Verification finale effectuee avec les equipes metier et exploitation.,fr
2008,TKT-2026-02008,Echec du lot de migration des comptes clients vers le nouveau referentiel,Le lot nocturne de migration de 12500 comptes postpayes s arrete a la phase de transformation et aucun chargement n est effectue dans la cible. Le planning de bascule projet est menace. Le client demande un retour rapide afin de respecter son SLA contractuel.,MIGRATION,CRITICAL,RESOLVED,Data Migration Engine,Ooredoo Tunisie,2026-03-11 05:00:00,2026-03-11 16:07:00,La table de mapping a ete completee puis le lot a ete relance depuis le point de reprise et la reconciliation finale a ete validee,Une valeur historique de segment client etait absente de la table de correspondance de l ETL,Le lot a ete suspendu et un perimetre reduit de comptes critiques a ete extrait pour verification manuelle La table de mapping a ete completee puis le lot a ete relance depuis le point de reprise et la reconciliation finale a ete validee Verification finale effectuee avec les equipes metier et exploitation.,fr
2009,TKT-2026-02009,Echec d enregistrement SIP sur le trunk principal entreprise,Les appels sortants des clients entreprise ne s etablissent plus depuis 08:15 et le SBC principal retourne 403 sur toutes les tentatives d enregistrement SIP. Le trafic voix sortant est fortement impacte. Des controles complementaires ont ete lances sur les flux inter applicatifs.,INCIDENT,CRITICAL,RESOLVED,VoIP Platform,Tunisie Telecom,2026-03-11 08:00:00,2026-03-11 12:08:00,Le certificat a ete renouvele puis redeploye sur le SBC principal et les enregistrements SIP ont repris normalement,Le certificat TLS du trunk principal a expire a minuit sans redeploiement automatique,Le trafic voix sortant a ete bascule provisoirement sur le SBC secondaire pour les clients critiques Le certificat a ete renouvele puis redeploye sur le SBC principal et les enregistrements SIP ont repris normalement Verification finale effectuee avec les equipes metier et exploitation.,fr
2010,TKT-2026-02010,Coupure FTTH regionale apres saturation d un port OLT,Plusieurs clients entreprise de la zone Ariana ont perdu la connectivite IP alors que les ONT restent synchronisees optiquement. Aucun trafic ne transite sur le port de collecte principal. Le perimetre touche concerne principalement les comptes B2B prioritaires.,PROVISIONING,CRITICAL,ESCALATED,Fibre FTTH,Orange Tunisie,2026-03-11 11:00:00,,,,Investigation en cours. Le trafic a ete detourne vers un port de collecte de secours pour les clients prioritaires Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
