doc_id,doc_type,source_id,service_name,company_name,language,title,content
ticket_4,ticket,4,VoIP Platform,Sahara Connect Services,fr,Latence élevée sur VoIP entreprise,"Type: Ticket
Ticket Number: TKT-2026-00004
Service: VoIP Platform
Company: Sahara Connect Services
Title: Latence élevée sur VoIP entreprise
Description: Nos utilisateurs signalent une latence > 200ms sur les appels VoIP depuis 2 jours. Qualité dégradée, écho fréquent.
Category: PANNE
Priority: MEDIUM
Status: IN_PROGRESS
Root Cause: 
Resolution: 
Comments: Test de latence effectué. Résultats : 180-220ms. Possible congestion switch S2. En attente retour équipe réseau.
Language: fr"
ticket_2,ticket,2,CRM Ericsson,Atlas Distribution Maroc,fr,Erreur synchronisation CRM contacts,"Type: Ticket
Ticket Number: TKT-2026-00002
Service: CRM Ericsson
Company: Atlas Distribution Maroc
Title: Erreur synchronisation CRM contacts
Description: La synchronisation des contacts entre le CRM Ericsson et le système HLR ne fonctionne plus depuis la mise à jour de vendredi.
Category: PANNE
Priority: HIGH
Status: ESCALATED
Root Cause: 
Resolution: 
Comments: Pouvez-vous nous donner un délai estimé pour la résolution ? C'est urgent pour notre équipe commerciale.
Language: fr"
ticket_2001,ticket,2001,BSCS Billing System,Atlas Distribution Maroc,fr,Blocage du rating BSCS sur les CDR roaming entrants,"Type: Ticket
Ticket Number: TKT-2026-02001
Service: BSCS Billing System
Company: Atlas Distribution Maroc
Title: Blocage du rating BSCS sur les CDR roaming entrants
Description: Depuis 06:20 les CDR roaming entrants ne sont plus valorises dans BSCS et le backlog depasse 42000 enregistrements. Les soldes clients postpayes ne sont plus mis a jour apres consommation. L impact est confirme sur le perimetre production entreprise.
Category: INCIDENT
Priority: CRITICAL
Status: RESOLVED
Root Cause: Un lot de CDR partenaire contenait un format de date non conforme qui a bloque le parseur de mediation
Resolution: Le parseur a ete corrige puis le lot corrompu a ete purge et les CDR en attente ont ete rejoues sans perte de donnees
Comments: Les CDR invalides ont ete isoles et la file de mediation secondaire a pris le relais pour les flux prioritaires Le parseur a ete corrige puis le lot corrompu a ete purge et les CDR en attente ont ete rejoues sans perte de donnees Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2002,ticket,2002,BSCS Billing System,Sahara Connect Services,fr,Echec du bill run mensuel BSCS pour les comptes entreprise,"Type: Ticket
Ticket Number: TKT-2026-02002
Service: BSCS Billing System
Company: Sahara Connect Services
Title: Echec du bill run mensuel BSCS pour les comptes entreprise
Description: Le bill run mensuel s arrete au milieu du cycle entreprise et aucune facture PDF n est produite pour 8600 comptes. Les previsions de cloture financiere sont retardees. Le NOC a ouvert une surveillance renforcee sur le service concerne.
Category: INCIDENT
Priority: HIGH
Status: RESOLVED
Root Cause: Le repertoire de polices du moteur PDF etait invalide apres une maintenance systeme
Resolution: Le chemin de rendu PDF a ete corrige puis le bill run a ete relance en reprise et toutes les factures ont ete regenerees
Comments: Les factures critiques ont ete sorties via le moteur de secours afin de respecter la fenetre de controle finance Le chemin de rendu PDF a ete corrige puis le bill run a ete relance en reprise et toutes les factures ont ete regenerees Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2003,ticket,2003,CRM Ericsson,Rabat Digital Operations,fr,Desynchronisation des fiches clients CRM Ericsson vers BSCS,"Type: Ticket
Ticket Number: TKT-2026-02003
Service: CRM Ericsson
Company: Rabat Digital Operations
Title: Desynchronisation des fiches clients CRM Ericsson vers BSCS
Description: Les creations de comptes corporate dans le CRM Ericsson ne remontent plus vers BSCS depuis la derniere mise a jour. Les commerciaux valident les dossiers mais aucun compte de facturation n est cree. Le client demande un retour rapide afin de respecter son SLA contractuel.
Category: INCIDENT
Priority: HIGH
Status: IN_PROGRESS
Root Cause: 
Resolution: 
Comments: Investigation en cours. Les comptes urgents ont ete crees manuellement dans BSCS pour les ventes prioritaires Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.
Language: fr"
ticket_2004,ticket,2004,Core Network OSS,Maghreb Fibre Entreprise,fr,Perte de remontee des KPI radio dans Core Network OSS,"Type: Ticket
Ticket Number: TKT-2026-02004
Service: Core Network OSS
Company: Maghreb Fibre Entreprise
Title: Perte de remontee des KPI radio dans Core Network OSS
Description: Les tableaux NOC n affichent plus les KPI radio 2G et 4G pour 186 noeuds depuis 01:00. La supervision reseau ne peut plus suivre la disponibilite et la charge trafic en temps reel. Des controles complementaires ont ete lances sur les flux inter applicatifs.
Category: INCIDENT
Priority: CRITICAL
Status: ESCALATED
Root Cause: 
Resolution: 
Comments: Investigation en cours. Le NOC a bascule temporairement sur les compteurs locaux exposes par les equipements critiques Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.
Language: fr"
ticket_2005,ticket,2005,Provisioning Platform,Atlas Cloud Hosting,fr,Blocage de la file JMS d activation dans la plateforme de provisioning,"Type: Ticket
Ticket Number: TKT-2026-02005
Service: Provisioning Platform
Company: Atlas Cloud Hosting
Title: Blocage de la file JMS d activation dans la plateforme de provisioning
Description: Les demandes d activation postpayees restent en statut pending depuis 09:10 et plus de 630 ordres sont en attente. Les boutiques et le CRM ne recoivent plus de confirmation technique. Le perimetre touche concerne principalement les comptes B2B prioritaires.
Category: PROVISIONING
Priority: CRITICAL
Status: RESOLVED
Root Cause: Un message XML mal forme issu d un canal partenaire a bloque le consommateur principal de la file JMS
Resolution: Le message fautif a ete mis en quarantaine puis le consumer a ete relance et les ordres ont ete rejoues avec succes
Comments: Les activations VIP ont ete traitees via un worker secondaire et une verification manuelle des accuses a ete effectuee Le message fautif a ete mis en quarantaine puis le consumer a ete relance et les ordres ont ete rejoues avec succes Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2006,ticket,2006,Mobile Portability Gateway,Nova Business Connect,fr,Demandes de portabilite bloquees a la validation operateur donneur,"Type: Ticket
Ticket Number: TKT-2026-02006
Service: Mobile Portability Gateway
Company: Nova Business Connect
Title: Demandes de portabilite bloquees a la validation operateur donneur
Description: Les demandes MNP entrantes restent en attente de validation et aucun accuse n est renvoye par l operateur donneur. Le portail de portabilite accumule rapidement un stock de dossiers. L impact est confirme sur le perimetre production entreprise.
Category: PROVISIONING
Priority: HIGH
Status: CLOSED
Root Cause: Le timeout reseau de la passerelle etait inferieur au temps de reponse reel du service partenaire
Resolution: Le timeout du connecteur a ete ajuste puis les dossiers en attente ont ete reemis dans l ordre de soumission
Comments: Les dossiers urgents ont ete rejoues en lots restreints avec un suivi manuel des accuses de reception Le timeout du connecteur a ete ajuste puis les dossiers en attente ont ete reemis dans l ordre de soumission Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2007,ticket,2007,Order Care API,Atlas Distribution Maroc,fr,Indisponibilite de l API Order Care sur la creation de commandes,"Type: Ticket
Ticket Number: TKT-2026-02007
Service: Order Care API
Company: Atlas Distribution Maroc
Title: Indisponibilite de l API Order Care sur la creation de commandes
Description: Les appels POST vers l API Order Care retournent HTTP 500 pour toutes les souscriptions depuis 07:45. Les canaux digitaux et le CRM ne peuvent plus creer de nouvelles commandes. Le NOC a ouvert une surveillance renforcee sur le service concerne.
Category: INCIDENT
Priority: CRITICAL
Status: RESOLVED
Root Cause: Les connexions JDBC expiraient avant renouvellement et ont sature le pool applicatif
Resolution: Le pool de connexions a ete redimensionne puis l application a ete redemarree et les commandes en echec ont ete rejouees
Comments: Les commandes critiques ont ete prises en charge via un script de creation controle sur la base de secours Le pool de connexions a ete redimensionne puis l application a ete redemarree et les commandes en echec ont ete rejouees Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2008,ticket,2008,Data Migration Engine,Sahara Connect Services,fr,Echec du lot de migration des comptes clients vers le nouveau referentiel,"Type: Ticket
Ticket Number: TKT-2026-02008
Service: Data Migration Engine
Company: Sahara Connect Services
Title: Echec du lot de migration des comptes clients vers le nouveau referentiel
Description: Le lot nocturne de migration de 12500 comptes postpayes s arrete a la phase de transformation et aucun chargement n est effectue dans la cible. Le planning de bascule projet est menace. Le client demande un retour rapide afin de respecter son SLA contractuel.
Category: MIGRATION
Priority: CRITICAL
Status: RESOLVED
Root Cause: Une valeur historique de segment client etait absente de la table de correspondance de l ETL
Resolution: La table de mapping a ete completee puis le lot a ete relance depuis le point de reprise et la reconciliation finale a ete validee
Comments: Le lot a ete suspendu et un perimetre reduit de comptes critiques a ete extrait pour verification manuelle La table de mapping a ete completee puis le lot a ete relance depuis le point de reprise et la reconciliation finale a ete validee Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
